specified,actual,abs difference
0.2,0.197429876,0.002570124
0.21,0.202406982,0.007593018
0.22,0.216755698,0.003244302
0.23,0.222624488,0.007375512
0.24,0.228310491,0.011689509
0.25,0.234435183,0.015564817
0.26,0.241696576,0.018303424
0.27,0.259943656,0.010056344
0.28,0.268196338,0.011803662
0.29,0.276581601,0.013418399
0.3,0.284283496,0.015716504
0.31,0.301941404,0.008058596
0.32,0.309210082,0.010789918
0.33,0.316320145,0.013679855
0.34,0.323263255,0.016736745
0.35,0.341043014,0.008956986
0.36,0.350934321,0.009065679
0.37,0.362545265,0.007454735
0.38,0.374678933,0.005321067
0.39,0.384982878,0.005017122
0.4,0.406872595,0.006872595
0.41,0.417624834,0.007624834
0.42,0.427136791,0.007136791
0.43,0.435995251,0.005995251
0.44,0.443118374,0.003118374
0.45,0.461255584,0.011255584
0.46,0.466711967,0.006711967
0.47,0.474218967,0.004218967
0.48,0.483094927,0.003094927
0.49,0.485317393,0.004682607
0.5,0.487265165,0.012734835
0.51,0.498352487,0.011647513
0.52,0.508975536,0.011024464
0.53,0.533561086,0.003561086
0.54,0.547727022,0.007727022
0.55,0.562812413,0.012812413
0.56,0.571275538,0.011275538
0.57,0.577534743,0.007534743
0.58,0.583668926,0.003668926
0.59,0.591958067,0.001958067
0.6,0.614032439,0.014032439
0.61,0.620096767,0.010096767
0.62,0.625636133,0.005636133
0.63,0.631648183,0.001648183
0.64,0.638621285,0.001378715
0.65,0.64810509,0.00189491
0.66,0.662209174,0.002209174
0.67,0.675862724,0.005862724
0.68,0.686325373,0.006325373
0.69,0.693194014,0.003194014
0.7,0.700381609,0.000381609
0.71,0.7241285,0.0141285
0.72,0.733609199,0.013609199
0.73,0.7427479,0.0127479
0.74,0.752020644,0.012020644
0.75,0.760710402,0.010710402
0.76,0.768842736,0.008842736
0.77,0.776406704,0.006406704
0.78,0.783672421,0.003672421
0.79,0.792300299,0.002300299
0.8,0.799585846,0.000414154
0.81,0.80648522,0.00351478
0.82,0.813492103,0.006507897
0.83,0.820801818,0.009198182
0.84,0.828224006,0.011775994
0.85,0.835733683,0.014266317
0.86,0.843902516,0.016097484
0.87,0.853411571,0.016588429
0.88,0.865148622,0.014851378
0.89,0.875617204,0.014382796
0.9,0.884646074,0.015353926
0.91,0.909787913,0.000212087
0.92,0.919401414,0.000598586
0.93,0.932011559,0.002011559
0.94,0.943032165,0.003032165
0.95,0.952814024,0.002814024
0.96,0.958322858,0.001677142
0.97,0.976997265,0.006997265
0.98,0.973122983,0.006877017
0.99,0.98135565,0.00864435
1,0.993346879,0.006653121
1.01,1.008640888,0.001359112
1.02,1.022050884,0.002050884
1.03,1.03533348,0.00533348
1.04,1.048198444,0.008198444
1.05,1.058417103,0.008417103
1.06,1.065890627,0.005890627
1.07,1.073463425,0.003463425
1.08,1.080823006,0.000823006
1.09,1.089238075,0.000761925
1.1,1.096842059,0.003157941
1.11,1.104572856,0.005427144
1.12,1.11248689,0.00751311
1.13,1.121073119,0.008926881
1.14,1.131679026,0.008320974
1.15,1.142183294,0.007816706
1.16,1.153429801,0.006570199
1.17,1.165612326,0.004387674
1.18,1.179674165,0.000325835
1.19,1.197009213,0.007009213
1.2,1.212232851,0.012232851
1.21,1.22130597,0.01130597
1.22,1.229978683,0.009978683
1.23,1.23777129,0.00777129
1.24,1.247657372,0.007657372
1.25,1.240707149,0.009292851
1.26,1.255235147,0.004764853
1.27,1.271455212,0.001455212
1.28,1.26751839,0.01248161
1.29,1.285555541,0.004444459
1.3,1.302429788,0.002429788
1.31,1.295905764,0.014094236
1.32,1.304196066,0.015803934
1.33,1.333481359,0.003481359
1.34,1.342826795,0.002826795
1.35,1.352894911,0.002894911
1.36,1.341157269,0.018842731
1.37,1.353615101,0.016384899
1.38,1.365903939,0.014096061
1.39,1.380588464,0.009411536
1.4,1.395189047,0.004810953
1.41,1.409415285,0.000584715
1.42,1.424946904,0.004946904
1.43,1.434364399,0.004364399
1.44,1.442599403,0.002599403
1.45,1.45376099,0.00376099
1.46,1.444057516,0.015942484
1.47,1.455917728,0.014082272
1.48,1.475937762,0.004062238
1.49,1.502126774,0.012126774
1.5,1.499039608,0.000960392
